goos: linux
goarch: amd64
pkg: maps-benchmark
cpu: INTEL(R) XEON(R) PLATINUM 8581C CPU @ 2.30GHz
BenchmarkMapInsert/100        	 8726589	      1375 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8762578	      1371 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8769444	      1373 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8722732	      1375 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8724428	      1419 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8715363	      1376 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8688834	      1378 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8713965	      1378 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8715640	      1377 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8700190	      1383 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8720620	      1377 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8735468	      1374 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8712637	      1376 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/100        	 8710184	      1382 ns/op	    2344 B/op	       3 allocs/op
BenchmarkMapInsert/1000       	  988016	     12135 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  980678	     12341 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  983161	     12168 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  984726	     12169 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  984356	     12223 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  986799	     12174 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  986281	     12193 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  987307	     12131 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  981147	     12216 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  988182	     12228 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  985912	     12143 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  985988	     12159 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  984738	     12205 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  980128	     12171 ns/op	   36944 B/op	       5 allocs/op
BenchmarkMapInsert/1000       	  982126	     12323 ns/op	   36944 B/op	       5 allocs/op
